Zoznam zvolených starostov,,,,,,,,,,
,,,,,,,,,,
Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Meno,Priezvisko,Politický subjekt
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,Matej,Vagač,"Team Bratislava, Progresívne Slovensko"
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,Roman,Lamoš,"Team Bratislava, Progresívne Slovensko, SaS"
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,Martin,Chren,TÍM RUŽINOV
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,Martin,Kuruc,NEKA
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529346,Bratislava - Nové Mesto,Matúš,Čupka,"Team Bratislava, Progresívne Slovensko, SaS"
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529354,Bratislava - Rača,Michal,Drotován,NEKA
1,Bratislavský kraj,101,Bratislava,103,Bratislava III,529362,Bratislava - Vajnory,Michal,Vlček,NEKA
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529401,Bratislava - Devín,Jana,Jakubkovič,NEKA
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529371,Bratislava - Devínska Nová Ves,Dárius,Krajčír,SOM Slovensko
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529389,Bratislava - Dúbravka,Martin,Zaťovič,SOM Slovensko
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529397,Bratislava - Karlova Ves,Dana,Čahojová,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529419,Bratislava - Lamač,Igor,Polakovič,"Team Bratislava, Progresívne Slovensko, SaS"
1,Bratislavský kraj,101,Bratislava,104,Bratislava IV,529427,Bratislava - Záhorská Bystrica,Jozef,Krúpa,SOM Slovensko
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529435,Bratislava - Čunovo,Gabriela,Ferenčáková,SOM Slovensko
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529443,Bratislava - Jarovce,Jozef,Uhler,NEKA
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529460,Bratislava - Petržalka,Ján,Hrčka,NEKA
1,Bratislavský kraj,101,Bratislava,105,Bratislava V,529494,Bratislava - Rusovce,Radovan,Jenčík,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,507831,Borinka,Miroslav,Paulen,SOM Slovensko
1,Bratislavský kraj,102,Malacky,106,Malacky,507890,Gajary,Martin,Rybecký,"SaS, SME RODINA, OKS"
1,Bratislavský kraj,102,Malacky,106,Malacky,507954,Jablonové,Ondrej,Uhliarik,KDH
1,Bratislavský kraj,102,Malacky,106,Malacky,507962,Jakubov,Peter,Gajdár,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508012,Kostolište,Hubert,Danihel,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508021,Kuchyňa,Miroslava,Fraňová,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508039,Láb,Štefan,Fogl,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508055,Lozorno,Ľuboš,Tvrdoň,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508063,Malacky,Juraj,Říha,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,504556,Malé Leváre,Adrian,Pernecký,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508080,Marianka,Zuzana,Iváková,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508161,Pernek,Martin,Ledník,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,504629,Plavecké Podhradie,Július,Papán,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,504637,Plavecký Mikuláš,Peter,Válek,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508195,Plavecký Štvrtok,Radoslav,Benkovič,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,504769,Rohožník,Peter,Švaral,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,504858,Sološnica,Anna,Čermáková,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,504874,Studienka,Ivona,Hlavenková,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508233,Stupava,Peter,Novisedlák,SOM Slovensko
1,Bratislavský kraj,102,Malacky,106,Malacky,508241,Suchohrad,Jozef,Temer,"Hlas - sociálna demokracia, SMER - SD"
1,Bratislavský kraj,102,Malacky,106,Malacky,504947,Veľké Leváre,Richard,Nimsch,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508349,Vysoká pri Morave,Andrej,Dvoran,NEKA
1,Bratislavský kraj,102,Malacky,106,Malacky,508365,Záhorská Ves,Boris,Šimkovič,"Hlas - sociálna demokracia, SMER - SD, SNS"
1,Bratislavský kraj,102,Malacky,106,Malacky,504980,Závod,Radomír,Ševeček,KDH
1,Bratislavský kraj,102,Malacky,106,Malacky,508381,Zohor,Martin,Zálesňák,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507806,Báhoň,Ivan,Patoprstý,KDH
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507849,Budmerice,Jozef,Savkuliak,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507857,Častá,František,Kašický,"SMER - SD, Hlas - sociálna demokracia"
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507873,Doľany,Katarína,Guldanová,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507881,Dubová,Ľudovít,Ružička,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507946,Jablonec,Slavomír,Pocisk,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508047,Limbach,Branislav,Kalman,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508101,Modra,Juraj,Petrakovič,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508179,Pezinok,Roman,Mács,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508187,Píla,Radovan,Mičunek,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508225,Slovenský Grob,Štefan,Gašparovič,Hlas - sociálna demokracia
1,Bratislavský kraj,103,Pezinok,107,Pezinok,507989,Svätý Jur,Šimon,Gabura,KDH
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508250,Šenkvice,Peter,Trojna,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508268,Štefanová,Viliam,Tekula,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508306,Viničné,Pavel,Galamboš,"Hlas - sociálna demokracia, SaS"
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508314,Vinosady,Ivana,Juráčková,NEKA
1,Bratislavský kraj,103,Pezinok,107,Pezinok,508322,Vištuk,Mária,Vráblová,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,507814,Bernolákovo,Miroslav,Turenič,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,507822,Blatné,Katarína,Polakovičová,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,503681,Boldog,Peter,Múčka,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,507865,Čataj,Marta,Tušová,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,545333,Dunajská Lužná,Ernest,Németh,KDH
1,Bratislavský kraj,104,Senec,108,Senec,507903,Hamuliakovo,Ludmila,Goldbergerová,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,503797,Hrubá Borša,Ján,Klačko,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,503801,Hrubý Šúr,Adrián,Takács,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,503819,Hurbanova Ves,Jana,Lauferová,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,507911,Chorvátsky Grob,Vladimíra,Vydrová,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI
1,Bratislavský kraj,104,Senec,108,Senec,555487,Igram,Peter,Holek,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,507938,Ivanka pri Dunaji,Vladimír,Letenay,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,507997,Kalinkovo,Jozef,Konrád,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,555495,Kaplna,Vladimír,Vittek,KDH
1,Bratislavský kraj,104,Senec,108,Senec,503851,Kostolná pri Dunaji,Igor,Šillo,"SZÖVETSÉG - ALIANCIA, KDH"
1,Bratislavský kraj,104,Senec,108,Senec,503894,Kráľová pri Senci,Dušan,Šebok,Hlas - sociálna demokracia
1,Bratislavský kraj,104,Senec,108,Senec,508071,Malinovo,Edit,Valacsai,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,508098,Miloslavov,Milan,Baďanský,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,508110,Most pri Bratislave,Katarína,Rentková,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,508136,Nová Dedinka,Zuzana,Árvová,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,582549,Nový Svet,Zuzana,Pavleová,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,503983,Reca,Zoltán,Metzner,SZÖVETSÉG - ALIANCIA
1,Bratislavský kraj,104,Senec,108,Senec,508209,Rovinka,Tomáš,Káčer,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,508217,Senec,Pavol,Kvál,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,508276,Tomášov,István,Pomichal,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,508284,Tureň,Dominik,Cisár,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,508292,Veľký Biel,Peter,Fülöp,NEKA
1,Bratislavský kraj,104,Senec,108,Senec,508331,Vlky,Baltazár,Fejes,SZÖVETSÉG - ALIANCIA
1,Bratislavský kraj,104,Senec,108,Senec,555509,Zálesie,Martina,Dobrovodská,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501441,Báč,Ildikó,Duduczová,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501450,Baka,Juraj,Bertalan,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501468,Baloň,Kristián,Tovaryš,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,555517,Bellova Ves,Mária,Jankovičová,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501484,Blahová,Alfréd,Kuczman,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501492,Blatná na Ostrove,Terézia,Földváry,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,503461,Bodíky,Tamás,Világi,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501506,Boheľov,Ferenc,Bögi,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501514,Čakany,Lívia,Bugárová,SZÖVETSÉG - ALIANCIA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,580554,Čenkovce,Jozef,Karika,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501531,Čiližská Radvaň,Erzsébet,Janík,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501549,Dobrohošť,Jozef,Boráros,NEKA
2,Trnavský kraj,201,Dunajská Streda,201,Dunajská Streda,501557,Dolný Bar,Oskár,Bereczk,"Hlas - sociálna demokracia, SMER - SD, SZÖVETSÉG - ALIANCIA"
