Zoznam kandidátov na starostu obce,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Titul,Vek,Zamestnanie,Politický subjekt,Poznámka
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,1,Zuzana,Aufrichtová,Ing. arch.,47,"starostka, urbanistka","SaS, KDH, OKS, NOVA, ZA ĽUDÍ, Zmena zdola, DÚ",
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,2,Jozef,Bača,"Ing., PhD.",57,pedagóg,DOMOV-NS,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,3,Michal,Čambal,,43,obchodník,ŽIVOT,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,4,Martin,Gajdoš,Ing. arch.,44,architekt,"SPOLU, DS, ODS - Občianski demokrati Slovenska, ŠANCA",
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,5,Zuzana,Luhová,Ing.,56,podnikateľka,NK/NEKA,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,6,Milena,Minichová,Mgr. art.,40,herečka,STRANA MODERNÉHO SLOVENSKA (SMS),
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,7,Radoslav,Števčík,Mgr.,52,tajomník filozofickej fakulty,STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,8,Romana,Tabák,Bc.,31,poslankyňa parlamentu,SME RODINA,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,9,Andrej,Trnovec,RNDr.,59,manažér,Slovenská ľudová strana (SĽS),
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,10,Matej,Vagač,Ing.,54,"stavebný inžinier, mestský a miestny poslanec","Team Bratislava, Progresívne Slovensko",
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,1,Andrej,Bojczún,,47,prevádzkový elektrikár a údržbár,NEKA,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2,Martina,Frőhlich Činovská,"Mgr.art., M.A.",42,šéfredaktorka,"STAROSTOVIA A NEZÁVISLÍ KANDIDÁTI, DOBRÁ VOĽBA a Umiernení",
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,3,Pavol,Kubiš,,58,štátny zamestnanec,DS,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,4,Zoran,Kupkovič,Mgr.,36,dopravný expert,Hlas - sociálna demokracia,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,5,Roman,Lamoš,Ing.,39,"stavebný inžinier, projektant, poslanec mestského zastupiteľstva","Team Bratislava, Progresívne Slovensko, SaS",
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,6,Zoltán,Pék,Mgr.,66,starosta mestskej časti,"SOM Slovensko, SZÖVETSÉG - ALIANCIA",
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,7,Boris,Vereš,,42,bankový policajt,"SME RODINA, KDH, ZA ĽUDÍ",
