Kód okresu,Kód obce,Názov okresu,Názov obce,Pohlavie,Ekonomické vekové skupiny,abs.
SK0101,SK0101528595,Okres Bratislava I,Bratislava - mestská časť Staré Mesto,muž,predproduktívny vek (0-14 rokov),3565
SK0101,SK0101528595,Okres Bratislava I,Bratislava - mestská časť Staré Mesto,muž,produktívny vek (15-64 rokov),14577
SK0101,SK0101528595,Okres Bratislava I,Bratislava - mestská časť Staré Mesto,muž,poproduktívny vek (65 a viac rokov),4068
SK0101,SK0101528595,Okres Bratislava I,Bratislava - mestská časť Staré Mesto,žena,predproduktívny vek (0-14 rokov),3433
SK0101,SK0101528595,Okres Bratislava I,Bratislava - mestská časť Staré Mesto,žena,produktívny vek (15-64 rokov),14594
SK0101,SK0101528595,Okres Bratislava I,Bratislava - mestská časť Staré Mesto,žena,poproduktívny vek (65 a viac rokov),5843
SK0102,SK0102529311,Okres Bratislava II,Bratislava - mestská časť Podunajské Biskupice,muž,predproduktívny vek (0-14 rokov),1807
SK0102,SK0102529311,Okres Bratislava II,Bratislava - mestská časť Podunajské Biskupice,muž,produktívny vek (15-64 rokov),7604
SK0102,SK0102529311,Okres Bratislava II,Bratislava - mestská časť Podunajské Biskupice,muž,poproduktívny vek (65 a viac rokov),1782
SK0102,SK0102529311,Okres Bratislava II,Bratislava - mestská časť Podunajské Biskupice,žena,predproduktívny vek (0-14 rokov),1720
SK0102,SK0102529311,Okres Bratislava II,Bratislava - mestská časť Podunajské Biskupice,žena,produktívny vek (15-64 rokov),7757
SK0102,SK0102529311,Okres Bratislava II,Bratislava - mestská časť Podunajské Biskupice,žena,poproduktívny vek (65 a viac rokov),2794
SK0102,SK0102529320,Okres Bratislava II,Bratislava - mestská časť Ružinov,muž,predproduktívny vek (0-14 rokov),6425
SK0102,SK0102529320,Okres Bratislava II,Bratislava - mestská časť Ružinov,muž,produktívny vek (15-64 rokov),25317
SK0102,SK0102529320,Okres Bratislava II,Bratislava - mestská časť Ružinov,muž,poproduktívny vek (65 a viac rokov),5833
SK0102,SK0102529320,Okres Bratislava II,Bratislava - mestská časť Ružinov,žena,predproduktívny vek (0-14 rokov),6132
SK0102,SK0102529320,Okres Bratislava II,Bratislava - mestská časť Ružinov,žena,produktívny vek (15-64 rokov),26966
SK0102,SK0102529320,Okres Bratislava II,Bratislava - mestská časť Ružinov,žena,poproduktívny vek (65 a viac rokov),10331
SK0102,SK0102529338,Okres Bratislava II,Bratislava - mestská časť Vrakuňa,muž,predproduktívny vek (0-14 rokov),1614
SK0102,SK0102529338,Okres Bratislava II,Bratislava - mestská časť Vrakuňa,muž,produktívny vek (15-64 rokov),6977
SK0102,SK0102529338,Okres Bratislava II,Bratislava - mestská časť Vrakuňa,muž,poproduktívny vek (65 a viac rokov),1354
SK0102,SK0102529338,Okres Bratislava II,Bratislava - mestská časť Vrakuňa,žena,predproduktívny vek (0-14 rokov),1512
SK0102,SK0102529338,Okres Bratislava II,Bratislava - mestská časť Vrakuňa,žena,produktívny vek (15-64 rokov),7215
SK0102,SK0102529338,Okres Bratislava II,Bratislava - mestská časť Vrakuňa,žena,poproduktívny vek (65 a viac rokov),2039
SK0103,SK0103529346,Okres Bratislava III,Bratislava - mestská časť Nové Mesto,muž,predproduktívny vek (0-14 rokov),3836
SK0103,SK0103529346,Okres Bratislava III,Bratislava - mestská časť Nové Mesto,muž,produktívny vek (15-64 rokov),13985
SK0103,SK0103529346,Okres Bratislava III,Bratislava - mestská časť Nové Mesto,muž,poproduktívny vek (65 a viac rokov),3160
SK0103,SK0103529346,Okres Bratislava III,Bratislava - mestská časť Nové Mesto,žena,predproduktívny vek (0-14 rokov),3542
SK0103,SK0103529346,Okres Bratislava III,Bratislava - mestská časť Nové Mesto,žena,produktívny vek (15-64 rokov),14852
SK0103,SK0103529346,Okres Bratislava III,Bratislava - mestská časť Nové Mesto,žena,poproduktívny vek (65 a viac rokov),5083
SK0103,SK0103529354,Okres Bratislava III,Bratislava - mestská časť Rača,muž,predproduktívny vek (0-14 rokov),2173
SK0103,SK0103529354,Okres Bratislava III,Bratislava - mestská časť Rača,muž,produktívny vek (15-64 rokov),8680
SK0103,SK0103529354,Okres Bratislava III,Bratislava - mestská časť Rača,muž,poproduktívny vek (65 a viac rokov),1864
SK0103,SK0103529354,Okres Bratislava III,Bratislava - mestská časť Rača,žena,predproduktívny vek (0-14 rokov),1968
SK0103,SK0103529354,Okres Bratislava III,Bratislava - mestská časť Rača,žena,produktívny vek (15-64 rokov),8311
SK0103,SK0103529354,Okres Bratislava III,Bratislava - mestská časť Rača,žena,poproduktívny vek (65 a viac rokov),2737
SK0103,SK0103529362,Okres Bratislava III,Bratislava - mestská časť Vajnory,muž,predproduktívny vek (0-14 rokov),545
SK0103,SK0103529362,Okres Bratislava III,Bratislava - mestská časť Vajnory,muž,produktívny vek (15-64 rokov),2061
SK0103,SK0103529362,Okres Bratislava III,Bratislava - mestská časť Vajnory,muž,poproduktívny vek (65 a viac rokov),450
SK0103,SK0103529362,Okres Bratislava III,Bratislava - mestská časť Vajnory,žena,predproduktívny vek (0-14 rokov),498
SK0103,SK0103529362,Okres Bratislava III,Bratislava - mestská časť Vajnory,žena,produktívny vek (15-64 rokov),1959
SK0103,SK0103529362,Okres Bratislava III,Bratislava - mestská časť Vajnory,žena,poproduktívny vek (65 a viac rokov),566
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,muž,predproduktívny vek (0-14 rokov),1363
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,muž,produktívny vek (15-64 rokov),6186
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,muž,poproduktívny vek (65 a viac rokov),897
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,žena,predproduktívny vek (0-14 rokov),1298
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,žena,produktívny vek (15-64 rokov),6235
SK0104,SK0104529371,Okres Bratislava IV,Bratislava - mestská časť Devínska Nová Ves,žena,poproduktívny vek (65 a viac rokov),1174
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,muž,predproduktívny vek (0-14 rokov),2839
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,muž,produktívny vek (15-64 rokov),11304
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,muž,poproduktívny vek (65 a viac rokov),2966
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,žena,predproduktívny vek (0-14 rokov),2673
SK0104,SK0104529389,Okres Bratislava IV,Bratislava - mestská časť Dúbravka,žena,produktívny vek (15-64 rokov),11438
